Thai,English,Type
ไม่ติด,Not stuck,V
ไม่ถูก,Not cheap,Adj
ไม่ทัน,Not in time,Adj
ไม่น่า,Not likely.,Adj
ไม่นาน,not long,Adv
ไม่น่าล่ะ,It shouldn't be.,Adv
ไม้บรรทัด,ruler,N
ไม่บ่อย,Not often,Adv
ไม้ประดับ,ornamental plant,N
ไม่เป็น,I don't know how.,"V, Aux"
ไม่เป็นไร,nevermind,Adj
ไม่มากนัก - ไม่นัก,Not much - Not much,Adv
ไม่มี,do not have,V
ไม่มีความสุข,unhappy,Adj
ไม่มีใคร,no one,Adj
ไม่มีที่ไหน,Nowhere,Adj
ไม่มีแรง,No energy,Adj
ไม่มีวัน,never,Adj
ไม่มีอะไร,do not have anything,Adj
ไมล์,mile,N
ไม่เลย,not at all,Adv
ไม้เลื้อย,creeper,N
ไม่ว่าง,unavailable,Adj
ไม่ว่าอะไร,No matter what,Adv
ไม่สบาย,unwell,Adj
ไม่สบายใจ,Uneasy,Adj
ไม้สัก,Teak,N
ไม่สุก,not ripe,Adj
ไม่ใส่,Don't wear it.,Adj
ไม่เห็นด้วย,Disagree,Adj
ไม่ไหว,I can't take it.,Adj
ยก,lift,V
ยกย่อง,praise,V
ยกเว้น,except,Prep
ย่อง,sneak,V
ย้อน,Rewind,V
ยอม,I agree.,Adj
ยอมรับ,accept,V
ยอมให้,allow,V
ยักษ์,giant,N
ยัง,not yet,Adv
ยังไง ,how ,Adv
ยังไงก็ตาม,Anyway,Conj
"ยังไม่ได้ , ยังไม่ถึง ??","Not yet, not yet ??",Adv phrase
ยังไร,Anyway?,Adv phrase
ยับ,wrinkled,Adj
ยา,drug,N
ย่า,paternal grandmother,N
ยาก,difficult,Adj
ยากจน,poor,Adj
ยากันยุง,Mosquito repellent,N
ยาคุม,birth control pills,N
ยาง,rubber,N
ยางลบ,eraser,N
ยาทา,Ointment,N
ยาม,guard,N
ยาเม็ด,pills,N
ย้าย,maternal grandmother,V
ยาย ,move ,N
ยายทวด,Great-grandmother,N
ย้ายมาอยู่,Move in,V
ยาว,long,Adj
ยาสีฟัน,toothpaste,N
ยาเสพติด,narcotics,N
ยาหม่อง,balm,N
ยาอม,lozenge,N
ยำสลัด,Salad salad,N
ยิง,shoot,V
ยิ่ง,more,Adj
ยินดี,pleased,Adj
ยิ้ม,smile,V
ยี่,Yi,N
ยี่สิบ,twenty,N
ยี่สิบสอง,twenty two,N
ยี่สิบเอ็ด,twenty one,N
ยี่ห้อ,brand,N
ยึด,seize,V
ยืน,stand,V
ยืนยัน,confirm,V
ยืม,borrow,V
ยุง,mosquito,N
ยุ่ง,busy,Adj
ยุติธรรม,fair,N
ยุโรป ,Europe ,N
เย็น,cool,Adj
เย็นนี้,This evening,N
เย็นวันอาทิตย์,Sunday evening,N
เย็บ,sew,V
เยอรมัน ,German ,N
เยอะ,a lot,Adj
เยอะแยะ,oodles,Adj
เยี่ยม,visit,V
แย่,badly,Adj
แยก,separate,V
รถ,car,N
รถด่วน,express bus,N
รถติด,traffic jam,Adj
รถตู้,van,N
รถทัวร์,tour bus,N
รถแท็กซี่,taxi,N
รถธรรมดา,Ordinary car,N
รถบัส,bus,N
รถพยาบาล,ambulance,N
รถไฟ,train,N
รถไฟใต้ดิน,subway,N
รถไฟฟ้า,sky train,N
รถเมล์,bus,N
รถยนต์,car,N
รถแอร์,Air conditioned car,N
รบ,battle,V
รบกวน,annoy,V
ร่ม,umbrella,N
รวดเร็ว,fast,Adj
รวบรวม,compile,V
รวม,together,V
ร่วม,join,V
ร่วมมือ,Cooperate,V
รวย,rich,Adj
รส,flavor,N
รสชาติ,taste,N
รหัส,code,N
รหัสไปรษณีย์,zip code,N
รอ,wait,V
ร้อง,cry,V
รองเท้า,shoe,N
รองเท้าแตะ,sandals,N
ร้องเพลง,sing,V
ร้องเรียน,appeal,V
ร้องไห้,cry,V
ร้อน,hot,Adj
ร้อนอบอ้าว,It's hot and stuffy.,Adj
"รอบ, รอบๆ","around, around","Adj, Adv"
รอย,trace,N
ร้อย,hundred,N
ร้อยละ,percentage,N
ระฆัง,bell,N
ระงับ,Suspended,V
ระดับ,level,N
ระบบ,system,N
ระบอบ,Regime,N
ระบุ,specify,V
ระเบิด,blast,N
ระเบียง,balcony,N
ระเบียบ,order,N
ระยะ,phase,N
ระยะเวลา,period,N
ระลึก,commemorative,V
ระวัง,be careful,Adj
ระหว่าง,between,"Conj, Prep"
รัก,love,V
รักษา,treat,V
รัง,nest,N
รังนก,Bird's nest,N
รัฐ,state,N
รัฐธรรมนูญ,constitution,N
รัฐบาล,government,N
รัฐมนตรี,minister,N
รับ,receive,V
รับประกัน,guarantee,V
รับประทาน,eat,V
รับผิดชอบ,be responsible,Adj
รั่ว,leak,V
รัสเซีย,Russia,N
ราคา,price,N
ร่าง,draft,N
ร่างกาย,body,N
รางวัล,reward,N
ราชการ,service,N
ร้าน,store,N
ร้านกาแฟ,coffee shop,N
ร้านขายของ ,shop ,N
ร้านขายยา ,pharmacy ,N
ร้านขายหนังสือ,book store,N
ร้านขายอาหาร,food store,N
ร้านตัดผม ,barber shop ,N
ร้านตัดเสื้อ,tailor shop,N
ร้านเสริมสวย,beauty salon,N
ร้านหนังสือ,bookstore,N
ร้านอาหาร,restaurant,N
รายการ,list,N
รายงาน,report,V
รายได้,income,N
ร่าเริง,cheerful,Adj
ราว,about,Adv
ราศี,zodiac,N
รำลึก,recapture,V
ริม,edge,N
ริมฝีปาก,lips,N
รีด,Iron,V
รีบ,Hurry,Adj
รึ,Or?,Conj
รื้อ,dismantle,V
รุ่น,model,N
รุ่นพี่,Senior,N
รุนแรง,severe,Adj
รู้,know,V
รู้จัก,know,V
รูป,photo,N
รูปถ่าย,photograph,N
รูปแบบ,type,N
รูปภาพ,picture,N
รู้เรื่อง,know about,V
รู้ว่า,know that,V
รู้สึก,feel,V
"เร็ว, เร็วๆ","quickly, quickly","Adj, Adv"
เร็วๆนี้,recently,Adv
"เรา, พวกเรา","we, us",Pronoun
เราทั้งหมด,we all,Pronoun
เริ่ม,start,V
เรียก,call,V
เรียกว่า,called,V
เรียน,learn,V
เรียนรู้,learn,V
เรียบ,smooth,Adj
เรียบร้อย,tidy,Adj
เรือ,ship,N
เรื่อง,subject,N
เรือน,house,N
เรื่อยๆ,continuously,"Adj, Adv"
เรือหางยาว,Long tail boat,N
แรก,first,Adv
แรง,force,N
แรงงาน,labor,N
แรงเทียน,candlepower,N
แรด,rhinoceros,N
แรม,RAM,N
โรค,disease,N
โรคบิด,dysentery,N
โรคหัวใจ,Heart disease,N
โรง,theater,N
โรงงาน ,factory ,N
โรงพยาบาล,hospital,N
โรงพัก,police station,N
โรงรถ,garage,N
โรงเรียน,school,N
โรงเรียนอนุบาล,Kindergarten,N
โรงแรม,hotel,N
โรงละคร,Theater,N
โรงหนัง,cinema,N
โรงอาหาร,canteen,N
ไร,What?,Suffix
ไร่,farm,N
ฤดู,season,N
ฤดูใบไม้ผลิ,spring,N
ฤดูใบไม้ร่วง,fall,N
ฤดูฝน,rainy season,N
ฤดูร้อน,summer,N
ฤดูหนาว,winter,N
ลง,go down,V
ลงทะเบียน,register,V
ลงทุน,invest,V
ลงมา,come down,Adv
ลด,reduce,V
ลดลง,reduce,V
ล้น,overflow,V
ลบ,delete,V
ลม,wind,N
ล้ม,fall,V
ลวก,roughly,V
ล่วงหน้า,in advance,Adv
ลวด,wire,N
ลวดลาย,pattern,N
ล้อ,wheel,N
ลอง,try,V
ลองดู,Try it out.,V
ลองใส่,Try it on.,V
ลอย,float,V
ละ,per,Adv
ล่ะ,So?,Particle
ละคร,drama,N
ละมุด,Sapodilla,N
ละอาย,Ashamed,Adj
ลักทรัพย์,burglary,V
ลักษณะ,nature,N
ลัทธิ,doctrine,N
ลา,donkey,V
ลาก่อน,goodbye,V
ล่าง,lower,"Adj, Adv"
ล้าง,wash,V
ล้างน้ำ,Wash with water,V
ล้าน,million,N
ล่าม,interpreter,N
ลาย,striped,N
ลายเซ็น,signature,N
ลาว ,Laos ,N
ลาออก,resign,V
ลำดับ,number,N
ลำบาก,difficult,Adj
ลำไย,longan,N
ลิง,monkey,N
ลิตร,liter,N
ลิ้น,tongue,N
ลิ้นจี่,Lychee,N
ลิ้นชัก,drawer,N
ลึก,deep,Adj
ลืม,forget,V
ลุก,Get up,V
ลุกขึ้น,Get up,V
ลุง,uncle,N
ลูก,child,N
ลูกกุญแจ,key,N
ลูกเกด,currant,N
ลูกเขย,son-in-law,N
ลูกครึ่ง,half-caste,N
ลูกค้า,customer,N
ลูกจ้าง,employee,N
ลูกชาย,son,N
ลูกชิ้น,meatball,N
ลูกบอล,ball,N
ลูกปืน,ball bearings,N
ลูกพี่ลูกน้อง,cousin,N
ลูกสะใภ้,Daughter-in-law,N
ลูกสาว,daughter,N
ลูกหนี้,debtor,N
ลูพี่ลูกน้อง,Cousin Lou,N
เล็ก,small,Adj
เลข,number,N
เลขที่,number,N
เลขา,secretary,N
เลขานุการ,secretary,N
เล่น,play,V
เล็บ,nail,N
เล็บเท้า,Toenails,N
เล็บมือ,Fingernails,N
เล่ม,book,"Class, N"
เลย,at all,Adv
เลว,bad,Adv
เล่า,tell,V
เลิก,finish,V
เลี้ยว,Turn,V
เลี้ยวขวา,Turn right,V
เลี้ยวซ้าย,Turn left,V
เลือก,choose,V
เลือกตั้ง,vote,V
เลือด,blood,N
แลก,Exchange,V
แล้ว,already,Adv
แล้วก็,And then,Conj
แล้วแต่,up to you,"Conj, Prep"
แล้วเลี้ยว,then turn,V
และ,and,Conj
โล,Lo,N
โลก,word,N
โลหะ,metal,N
ไล่,Chasing,V
ไล่ออก,sack,V
วงกลม,circle,N
วงจร,cycle,N
วงเวียน,roundabout,N
วรรณกรรม,literature,N
วรรณคดี,literature,N
วัฒนธรรม,culture,N
วัด,measure,N
วัตถุ,object,N
วัตถุประสงค์,objective,N
วัน,day,N
วันเกิด,birthday,N
วันจันทร์,Monday,N
วันที่,date,N
วันธรรมดา,Weekdays,N
วันนี้,today,N
วันพฤหัส,Thursday,N
วันพฤหัสบดี,Thursday,N
วันพุธ,Wednesday,N
วันเว้นวัน,every other day,N
วันศุกร์,Friday,N
วันเสาร์,Saturday,N
วันหยุด,day off,N
วันหลัง,the next day,N
วันอังคาร,Tuesday,N
วันอาทิตย์,Sunday,N
วัยรุ่น,teenager,N
วัว,cow,N
วา,Wa,N
ว่า,that,V
วาง,place,V
ว่าง,free,Adj
วาจา,speech,N
วาน,yesterday,Prefix
ว่ายน้ำ,swim,V
วิเคราะห์,analyze,V
วิ่ง,run,V
วิจัย,research,V
วิชา,subject,N
วิชาชีพ,profession,N
วิญญาณ,spirit,N
วิตก,Anxious,V
วิทยา,science,N
วิทยาศาสตร์,science,N
วิทยุ,radio,N
วิธี,way,N
วิธีการ,way,N
วินาที,second,N
วิวัฒนาการ,evolution,N
วิศวกร,engineer,N
วิสกี้,whiskey,N
วีซ่า,visa,N
เวที,stage,N
เว้น,except,V
เว้นแต่,unless,"Conj, Prep"
เวฟ,Wave,N
เวลา,time,N
เวลาดี - มงคล,Good time - auspicious,N
เวลานี้,this time,N
เวียดนาม ,Vietnam ,N
เวียนหัว,dizzy,Adj
แว่น,glasses,N
แว่นตา,glasses,N
แวะ,Stop by,V
ไว,Fast,Adj
ไว้,hold,V
ไว้ใจ,trust,V
ไวน์,wine,N
ไวไฟ,inflammable,Adj
ศพ,body,N
ศรัทธา,faith,N
ศอก,elbow,N
ศัตรู,enemy,N
ศาล,court,N
ศาลา,pavilion,N
ศาสตร์,science,N
ศาสนา,religion,N
ศาสนาคริสต์,Christianity,N
ศาสนาพุทธ,Buddhism,N
ศาสนายิว,Judaism,N
ศาสนาอิสลาม,Islam,N
ศิลปะ,art,N
ศีล,canon,N
ศึก,battle,N
ศึกษา,study,V
ศูนย์,center,N
ศูนย์การค้า,shopping center,N
เศรษฐกิจ,economy,N
เศร้า,beard,Adj
เศษ,scrap,N
เศษสตางค์,penny,N
สกปรก,dirty,Adj
ส่ง (ไป),send (to),V
สงคราม,war,N
ส่งจดหมาย,Send a letter,V
สงบ,peaceful,N
ส่งไป,Send it,V
สงสัย,wonder,Adj
สงสาร,feel sorry,V
ส่งเสริม,promote,V
ส่งออก,export,V
สด,fresh,Adj
สดใส,bright,Adj
สตางค์,satang,N
สติ,consciousness,N
สถานการณ์,situation,N
สถานที่,location,N
สถานทูต,embassy,N
สถานี,station,N
สถานีตำรวจ,police station,N
สถานีรถไฟ,train station,N
สถาบัน,institution,N
สถาปนา,establish,V
สถิติ,statistics,N
สนใจ,interested,V
สนทนา,talk,V
สนาม,stadium,N
สนามกีฬา,sports stadium,N
สนามบิน,airport,N
สนามม้า,horse racetrack,N
สนุก,fun,Adj
สบาย,comfortable,Adj
สบายๆ ,Take it easy ,Adj
สบายใจ,relaxed,Adj
สบายดี,fine,Adj
สบู่,soap,N
สบูลักส์,Sbuluks,N
สบู่หอม,Scented soap,N
สบู่เหลว,liquid soap,N
สปอร์ตคลับ,Sports Club,N
สเปน,Spain,N
สภา,council,N
สภาพ,condition,N
ส้ม,orange,N
ส้มเขียวหวาน,Tangerine,N
ส้มตำ,papaya salad,N
สมบูรณ์,complete,Adj
สมอง,brain,N
ส้มโอ,pomelo,N
สมัคร,apply,V
สมัย,period,N
สมัยก่อน,In the past,N
สมัยนี้,Nowadays,N
สมัยใหม่,modern,N
สมาคม,association,N
สมาชิก,member,N
สมุด,notebook,N
สโมสร,club,N
สร้อยคอ,necklace,N
สระ (ผม),wash hair),V
สระว่ายน้ำ,swimming pool,N
สร้าง,build,V
สรุป,summarize,V
สลบ ,Passed out ,V
สลัด,salad,N
สวดมนต์,pray,V
ส่วน,part,N
สวน ,garden ,N
ส่วนตัว,personal,"Adj, Adv"
ส่วนมาก,Mostly,Adv
สวนสัตว์,zoo,N
ส่วนใหญ่,mostly,N
สวม,wear,V
ส้วม,closet,N
สวย,beautiful,Adj
สวัสดิการ,welfare benefit,N
สวัสดี,hello,V
สว่าง,bright,Adj
สวิตเซอร์แลนด์,Switzerland,N
สวิส ,swiss ,N
สวีเดน,Sweden,N
สหประชาชาติ ,United Nations ,N
สหรัฐ,United States,N
สหรัฐอเมริกา,United States of America,N
สอง ๒,Two 2,N
สองแถว,Two rows,N
สองพัน,Two thousand,N
สอน,teach,V
สอนหนังสือ,Teaching,V
สอบ,take a test,V
สอบสวน,investigate,V
ส้อม,fork,N
สะดวก,convenient,Adj
สะดือ,navel,N
สะพาน,bridge,N
สะพานลอย,overpass,N
สะใภ้,Daughter-in-law,N
สะอาด,clean,Adj
สัก,tattoo,Adv
สักครู่,a moment,Adv
สั่ง,order,V
สังเกต,notice,V
สังคม,society,N
สั่งซื้อ,Order,V
สัญญา,contract,V
สัดส่วน,proportion,N
สัตว์,animal,N
สัตว์เลี้ยง,Pets,N
สั่น,shake,V
สั้น,short,Adj
สับปะรด,pineapple,N
สับสน,confused,Adj
สัปดาห์,week,N
สัมผัส,touch,V
สัมภาษณ์,interview,V
สาขา,branch,N
สาด,splash,V
สาธารณะ,public,N
สาม ๓,Three 3,N
สามแยก,Intersection,N
สามล้อ,tricycle,N
สามวันก่อน,Three days ago,N
สามสิบ,thirty,N
สามสิบเอ็ด,Thirty-one,N
สามเหลี่ยม,triangle,N
สามารถ,can,Helping V
สามี,husband,N
สาย,line,N
สายกลาง,Middle line,N
สายตา,sight,N
สารภาพ,confess,V
สาว,girl,N
สำคัญ,important,Adj
สำนักงาน,office,N
สำรวจ,explore,V
สำเร็จ,succeed,V
สำเร็จรูป,ready made,N
สำหรับ,for,Prep
"สิ, ซิ","Si, Si",Particle
สิ่ง,thing,N
สิ่งของ,things,N
สิงคโปร์,Singapore,N
สิงโต,lion,N
สิงหาคม,August,N
สิทธิ,Rights,N
สิ้น,end,V
สินค้า,product,N
สิ้นเดือน,End of month,N
สิ้นปี,End of the year,N
สิบ,ten,N
สิบเก้า,nineteen,N
สิบเจ็ด,seventeen,N
สิบแปด,Eighteen,N
สิบล้าน,Ten million,N
สิบสอง,twelve,N
สิบสาม,thirteen,N
สิบหก,sixteen,N
สิบห้า,fifteen,N
สิบเอ็ด,eleven,N
สิว,acne,N
สี,color,N
สี่ ๔,four 4,N
สีขาว,white,N
สีเขียว,green,Adj
สีเขียวอ่อน,light green,Adj
สีคราม,Indigo,Adj
สีคล้ำ,Dark color,Adj
สีเงิน,silver color,Adj
สีชมพู,pink,Adj
สีดำ,black,Adj
สีแดง,red,Adj
สีแดงเข้ม,dark red,Adj
สีตก,Discoloration,Adj
สีทอง,gold color,Adj
สีเทา,grey,Adj
สีน้ำเงิน,blue,Adj
สีน้ำตาล,brown,Adj
สีผม,Hair color,N
สีฟัน,Tooth color,V
สีฟ้า,light blue,Adj
สีม่วง,purple,Adj
สีไม่สด - สีหม่น,Color not bright - dull color,Adj
สี่แยก,intersection,N
สีส้ม,orange,Adj
สี่สิบ,forty,N
สีแสด,scarlet color,Adj
สีเหลือง,yellow,Adj
สีเหลืองอ่อน,light yellow,Adj
สีอ่อน,light color,Adj
สืบ,spy,V
สื่อ,media,V
สื่อสาร,communicate,V
สุก,ripe,Adj
สุขใจ,delight,Adj
สุขภาพ,health,N
สุขภาพดี,healthy,Adj
สุขภาพไม่ดี,poor health,Adj
สุด,end,Adj
สุดท้อง,youngest,Adj
สุดท้าย,last,Adj
สุนัข,dog,N
สุภาพ,polite,Adj
สุภาพสตรี,Ladies,N
สุรา,spirits,N
สู้,fight,V
สูง,high,Adj
สูงสุด,maximum,Adj
สูตร,formula,N
สูบ,pump,V
สูบบุหรี่,smoking,V
เส้น,line,N
เส้นทาง,route,N
เส้นหมี่,Vermicelli,N
เส้นใหญ่,Twine,N
เสมอ,always,Adv
เสร็จ,finish,V
เสาร์อาทิตย์,"Saturday, Sunday",N
เสาร์อาทิตย์นี้,"This Saturday, Sunday",N
เสีย,broken,"V, Adj"
เสียง,sound,N
เสียงดัง,loud,Adj
เสียงสูงต่ำ,intonation,Adj
เสียใจ,sad,Adj
เสียดาย,sorry,Adj
เสียว,Thrilling,V
เสียหน้า,Lose face,Adj
เสียหาย,damaged,Adj
เสือ,tiger,N
เสื่อ,mat,N
เสื้อ,shirt,N
เสื้อกางเกง,shirt pants,N
เสื้อแขนยาว,long-sleeved shirt,N
เสื้อชั้นใน,bra,N
เสื้อเชิ้ต,shirt,N
เสือดาว,leopard,N
เสื้อผ้า,clothes,N
เสื่อม,decline,V
เสื้อยืด,t-shirt,N
เสื้อหนาว,winter coat,N
แสด,show,Adj
แสดง,show,V
แสตมป์,stamp,N
แสน,hundred thousand,N
แสบ,keen,Adj
โสด,single,N
ใส,clear,Adj
ใส่,wear,V
ใส่ถุง,bag,V
ไส้,core,N
ไส้กรอก,sausage,N
ไสตล์,Style,N
หก,six,N
หกสิบ,Sixty,N
หญ้า,grass,N
หญิง,female,N
หญิงโสด,single woman,N
หด,shrink,V
หน,When,Class
หนวด,moustache,N
หน่อย,bit,Adv
หนัก,heavy,Adj
หนักใจ,worry,Adj
หนัง,skin,N
หนังสือ,book,N
หนังสือพิมพ์,newspaper,N
หนา,thick,Adj
หน้า,page,N
หน้าต่าง,window,N
หน้าที่,duty,N
หน้าผาก,forehead,N
หน้าฝน,Rainy season,N
หน้าร้อน,summer,N
หนาว,cold,Adj
หน้าหนาว,winter,N
หน้าอก,chest,N
หนี,escape,V
หนี้,debt,N
หนึ่ง ๑,One 1,N
หนึ่งคน ,one person ,N
หนึ่งร้อย,one hundred,N
หนุ่ม,boy,N
หนู,mouse,N
หมด,ant,V
หมดสติ,unconscious,Adj
หมดอายุ,expire,Adj
หมวก,hat,N
หมวกกันน็อค,helmet,N
หมอ,doctor,N
หม้อ,pot,N
หมอ ,doctor ,N
หมอน,pillow,N
หมอนวด,Masseuse,N
หมอฟัน,dentist,N
หมัด,punch,N
หมา,dog,N
หมายความว่า,means that,V
หมายถึง,mean,V
หมี,bear,N
หมื่น,ten thousand,N
หมุน,turn,V
หมู,pig,N
หมู่,group,N
หมู่บ้าน,village,N
หย่า,divorce,V
หยาบ,rough,Adj
หยิบ,pick,V
หยุด,stop,V
หยุดพัก,Take a break,V
หรอก,Really?,Adv
หรือ,or,Conj
หรือเปล่า,Or not?,Conj
หรือไม่,or not,Conj
หรือยัง,Or not yet?,Conj
หลวม,loose,Adj
หล่อ,handsome,Adj
หลอก,trick,V
หลอด,bulb,N
หลอดไฟ (ฟ้า),Light bulb (blue),N
หลัก,main,N
หลักสูตร,course,N
หลัง,behind,Adv
หลังคา,roof,N
หลังจาก,after,"Conj, Prep"
หลังจากนั้น,after that,Conj
หลังจากนี้,After this,Conj
หลังอาหาร,after meal,Prep
หลับ,sleep,V
หลา,yard,N
หลาน,grandchild,N
หลานชาย,grandson,N
หลานสาว,granddaughter,N
หลาย,many,Adv
หลายปี,many years,Adv
หลายอย่าง,many things,Adv
หลุม,pit,N
หวัง,hope,V
หวัด,cold,N
หวัดดี,hi,V
หวาน,sweet,Adj
หวี,comb,N
ห่อ,wrap,V
ห้อง,room,N
ห้องกินข้าว,dining room,N
ห้องเก็บของ ,storage room ,N
ห้องครัว ,kitchen ,N
ห้องคู่,double room,N
ห้องเดี่ยว,Single room,N
ห้องทำงาน,office room,N
ห้องธรรมดา,Ordinary room,N
ห้องนอน,bedroom,N
ห้องน้ำ,bathroom,N
ห้องพัดลม,fan room,N
ห้องรับแขก,living room,N
ห้องสมุด,library,N
ห้องอาหาร ,Restaurant ,N
ห้องแอร์,Air conditioned room,N
หอพัก,dormitory,N
หอม,smell good,V
หอย,shellfish,N
ห้อย,hang,V
หอยนางรม,oysters,N
หัก,deduct,V
หัด,measles,V
หัน,Turn,V
หั่น,cut,V
หัว,head,N
หัวเข่า,knee,N
หัวค่ำ,early evening,Adv phrase
หัวใจ,heart,N
หัวเราะ,laugh,V
หัวหน้า,head,N
หัวหอม,onion,N
หา,look for,V
ห้า ๕,five 5,N
หาก,if,Conj
หาง,tail,N
ห่าง,far,"Adj, Adv"
ห้าง,department store,N
ห้างสรรพสินค้า,mall,N
หาเงิน,make money,V
หาเจอ,Found it,V
ห่าน,goose,N
ห้าม,prohibit,V
หาไม่เจอ,Can't find it,V
หาย (ไป),disappear),V
หายใจ,breathe,V
หายใจไม่ออก,Can't breathe,V
หายป่วย,get well,V
ห้าแยก,Intersection,N
หาร,divide,V
หิน,rock,N
หิมะ,snow,N
หิว,hungry,Adj
หิวข้าว,hungry for rice,Adj
หิวน้ำ,Thirsty,Adj
หีบ,chest,N
หุง,cook,N
หุ้น,share,N
หู,ear,N
เหงา,lonely,Adj
เหงื่อ,sweat,N
เหงื่อออก,Sweating,V
เห็ด,mushroom,N
เหตุ,cause,N
เหตุผล,reason,N
เห็น,see,V
เห็นด้วย,agree,V
เห็นด้วย (กับ),agree (with),V
เหนียว,sticky,Adj
เหนือ,above,"Adj, Adv"
เหนื่อย,tired,Adj
เหม็น,smelly,Adj
เหมาะ,suitable,Adj
เหมาะสม,appropriate,Adj
เหมือน,like,Adj
เหมือนกัน,the same,Adj
เหรอ,really?,Adv 
เหรียญ,coin,N
เหล็ก,iron,N
เหลน,Great-grandchild,N
เหลวไหล,fudge,Adj
เหลอ,deadpan,Question particle
เหล้า,alcohol,N
เหล่านั้น,those,N
เหล่านี้,these,N
เหลือ,left,V
เหลือเกิน,exceedingly,Adv
เหลือง,yellow,"N, Adj"
เห่า,bark,V
แห่ง,of,N
แห้ง,dry,Adj
แหล่ง,source,N
แหลม,pointed,Adj
แหวน,ring,N
โหล,dozen,N
ให้,give,V
ให้เช่า,For rent,V
ใหญ่,big,Adj
ใหญ่ๆ,big,Adj
ใหญ่โต ,big ,Adj
ใหม่,new,Adj
ให้ยืม,lend,V
ไหน,which,Adj
ไหนๆ,Where?,Adj
ไหม,silk,Question particle
ไหม้,burn,V
ไหมไทย,Thai silk,N
ไหล,flow,V
ไหล่,shoulder,N
ไหว,I can handle it.,Adj
อก,breast,N
องค์,element,N
องค์การ,organization,N
องศา,degree,N
อด,Starve,V
อธิบาย,explain,V
อนาคต,future,N
อนุญาต,allow,V
อนุบาล,kindergarten,N
อบ,baked,V
อบอุ่น,warm,Adj
อพาร์ทเมนท์,Apartment,N
อเมริกัน ,american ,N
อเมริกา,America,N
อย่า,do not,"V, Aux"
อยาก,want,V
อยากได้,want to have,V
อย่าง,at,N
อย่างน้อย,at least,Adv
อย่างนี้,Like this,Adv
อย่างนี้,Like this,Adv
อย่างแรง,strongly,Adv
อย่างไร ,how ,Adv
อย่างไรก็ตาม,however,Adv
อย่าเพิ่ง,Don't just yet.,V
อยู่,live,V
อยู่ที่ไหน,Where?,V phrae
อร่อย,delicious,Adj
อ้วก ,puke ,V
อวด,flourish,V
อ้วน,fat,Adj
อ้อ,oh,Exclamation
อ๋อ,oh,Exclamation
ออก,leave,V
อ่อก (เงิน),Oh (money),V
ออกกำลัง,exercise,V
ออกกำลังกาย,exercise,V
ออกจาก,leave,V
ออกมา,come out,V
ออกลูก ,pup ,V
ออกเสียง,vote,V
อ่อน,weak,Adj
อ่อนแอ,weak,Adj
ออฟฟิศ,office,N
ออสเตรเลีย ,Australia ,N
ออสเตรีย,Austria,N
อะไร,what,"Pro, Adj"
อะไรก็ได้,anything,Phrase
อะไรนะ,what?,Interrogative 
อะไรบ้าง,What?,Interrogative 
อักษร,letter,N
อักเสบ,Inflammation,Adj
อังกฤษ,England,N
อัด,compress,V
อัตโนมัติ,automatic,Adj
อัตรา,rate,N
อัน,which,"N, Class"
อันตราย,dangerous,Adj
อันนั้น,That one,N
อันนี้,This one,N
อันโน้น,That one,N
อันไหน,Which one?,Pronoun
อา,uncle,N
อาการ,symptom,N
อากาศ,weather,N
อาคาร,building,N
อ่าง,sink,N
อ้างถึง - อ้างอิง,refer to - refer,V
อ่างล้างมือ,sink,N
อ่างล้างหน้า,basin,N
อ่างอาบน้ำ,bath,N
อาจ,might,Helping V
อาจจะ,may,Helping V
อาจารย์,lecturer,N
อาจารย์,lecturer,N
อาเจียน,vomit,V
อาชีพ,occupation,N
อาณาจักร,kingdom,N
อาทิตย์,week,N
อาทิตย์ก่อน,last week,N
อาทิตย์ที่แล้ว,last week,N
อาทิตย์นี้,This week,N
อาทิตย์หน้า,next week,N
อ่าน,read,V
อ่านเล่น,Read for fun,V
อาบน้ำ,shower,V
อายุ,age,N
อายุน้อย,Young age,Adj
อาร์เจนตินา,Argentina,N
อารมณ์,mood,N
อ่าว,bay,N
อาศัยอยู่ - อาศัย,lived - lived,V
อาหรับ,Arab,N
อาหาร,food,N
อาหารกลางวัน,lunch,N
อาหารค่ำ,dinner,N
อาหารจีน,Chinese food,N
อาหารเช้า,breakfast,N
อาหารญี่ปุ่น,Japanese food,N
อาหารเที่ยง,lunch,N
อาหารไทย,Thai food,N
อาหารเป็นพิษ,food poisoning,N
อาหารฝรั่ง,western food,N
อาหารเย็น,dinner,N
อำนาจ,power,N
อำเภอ,district,N
อิตาลี ,Italy ,N
อิทธิพล,Influence,N
อินเดีย ,India ,N
อินโดนีเซีย ,Indonesia ,N
อิ่ม,full,Adj
อิสรภาพ,freedom,N
อิสระ,free,Adj
อิสราเอล,Israel,N
อิหร่าน,Iran,N
อีก,more,"Adj, Ad"
อีกด้วย,Also,Adv
อีกที,One more time,Adv
อีกนาน,For a long time,Adv
อีกหน่อย,A little more,Adv
อีกอันหนึ่ง,another one,Adj
อียิปต์,Egypt,N
อีสาน,northeast,N
อึดอัด,uncomfortable,Adj
อื่น,another,Adj
อื่นๆ,other,Adj
อุณหภูมิ,temperature,N
อุดฟัน,Dental filling,V
อุดหนุน,Subsidize,V
อุตสาหกรรม,industry,N
อุ่น,lukewarm,V
อุปกรณ์,equipment,N
อุ้ม,carry,V
อู่,cradle,N
